X,Y,Location,Juris,Status,Lat,Long
-111.8867622,33.40737386,EB BROADWAY RD & FS EL DORADO,Mesa,Active,33.407379,-111.886773
-111.8479922,33.40762066,EB BROADWAY RD & FS EXTENSION RD,Mesa,Active,33.407626,-111.848003
-111.8651752,33.40747781,EB BROADWAY RD & FS LONGMORE,Mesa,Active,33.407483,-111.865186
-111.8337391,33.40772986,EB BROADWAY RD & FS MACDONALD,Mesa,Active,33.407735,-111.83375
-111.8364364,33.40776379,EB BROADWAY RD & FS ROBSON,Mesa,Active,33.407769,-111.836447
-111.8828632,33.4073888,EB BROADWAY RD & FS ROOSEVELT RD,Mesa,Active,33.407394,-111.882874
-111.8676471,33.40748074,EB BROADWAY RD & FS SAGUARO,Mesa,Active,33.407486,-111.867658
-111.8607473,33.40750173,EB BROADWAY RD & FS STANDAGE,Mesa,Active,33.407507,-111.860758
-111.8783023,33.40742787,EB BROADWAY RD & MB VALENCIA,Mesa,Active,33.407433,-111.878313
-111.8528173,33.40756579,EB BROADWAY RD & NS WESTWOOD,Mesa,Active,33.407571,-111.852828
-111.8561041,33.41471989,EB MAIN ST FS & ALMA SCHOOL RD,Mesa,Active,33.414725,-111.856115
-111.8478832,33.4148948,EB MAIN ST & FS EXTENSION RD,Mesa,Active,33.4149,-111.847894
-111.8333583,33.41496477,EB MAIN ST & FS MACDONALD,Mesa,Active,33.41497,-111.833369
-111.8591952,33.41473372,EB MAIN ST & FS STEWART,Mesa,Active,33.414739,-111.859206
-111.8696504,33.41468371,EB MAIN ST & FS SYCAMORE,Mesa,Active,33.414689,-111.869661
-111.8524351,33.41482275,EB MAIN ST & MB BEVERLY,Mesa,Active,33.414828,-111.852446
-111.8436283,33.41495888,EB MAIN ST & NS EXTENSION RD,Mesa,Active,33.414964,-111.843639
-111.8392582,33.45129273,EB MCKELLIPS RD & FS COUNTRY CLUB DR,Mesa,Active,33.451298,-111.839269
-111.8347693,33.39321372,EB SOUTHERN AV & FS MACDONALD,Mesa,Active,33.393219,-111.83478
-111.8706463,33.39288371,EB SOUTHERN AV & NS SYCAMORE,Mesa,Active,33.392889,-111.870657
-111.8564822,33.3929318,EB SOUTHERN AV & FS ALMA SCHOOL RD,Mesa,Active,33.392937,-111.856493
-111.8309892,33.39321969,EB SOUTHERN AV & FS CENTER ST,Mesa,Active,33.393225,-111.831
-111.8390932,33.39315686,EB SOUTHERN AV & FS COUNTRY CLUB DR,Mesa,Active,33.393162,-111.839104
-111.8739831,33.39290772,EB SOUTHERN AV & FS DOBSON RD,Mesa,Active,33.392913,-111.873994
-111.8480852,33.39307476,EB SOUTHERN AV & FS EXTENSION RD,Mesa,Active,33.39308,-111.848096
-111.8632602,33.39293077,EB SOUTHERN AV & FS LONGMORE,Mesa,Active,33.392936,-111.863271
-111.8776442,33.39292679,EB SOUTHERN AV & FS SAN JOSE,Mesa,Active,33.392932,-111.877655
-111.8598714,33.39295483,EB SOUTHERN AV & FS STEWART,Mesa,Active,33.39296,-111.859882
-111.8420742,33.39314879,EB SOUTHERN AV & FS VINEYARD,Mesa,Active,33.393154,-111.842085
-111.8524541,33.39299492,EB SOUTHERN AV & FS WESTWOOD,Mesa,Active,33.393,-111.852465
-111.8558621,33.42195768,EB UNIVERSITY DR & FS ALMA SCHOOL RD,Mesa,Active,33.421963,-111.855873
-111.8394102,33.42222666,EB UNIVERSITY DR & FS COUNTRY CLUB DR,Mesa,Active,33.422232,-111.839421
-111.8739623,33.42199271,EB UNIVERSITY DR & FS DOBSON RD,Mesa,Active,33.421998,-111.873973
-111.8448671,33.42219669,EB UNIVERSITY DR & FS HOSICK,Mesa,Active,33.422202,-111.844878
-111.8647252,33.42202382,EB UNIVERSITY DR & FS LONGMORE,Mesa,Active,33.422029,-111.864736
-111.8336011,33.42223664,EB UNIVERSITY DR & FS MACDONALD,Mesa,Active,33.422242,-111.833612
-111.8361963,33.42221775,EB UNIVERSITY DR & FS ROBSON,Mesa,Active,33.422223,-111.836207
-111.8605411,33.42203189,EB UNIVERSITY DR & FS STANDAGE,Mesa,Active,33.422037,-111.860552
-111.8517683,33.4220988,EB UNIVERSITY DR & FS WESTWOOD,Mesa,Active,33.422104,-111.851779
-111.8485891,33.42213667,EB UNIVERSITY DR & NS EXTENSION RD,Mesa,Active,33.422142,-111.8486
-111.8567143,33.4032269,NB ALMA SCHOOL RD & NS 6TH AV,Mesa,Active,33.403232,-111.856725
-111.8563231,33.41881566,NB ALMA SCHOOL RD & FS 2ND ST,Mesa,Active,33.418821,-111.856334
-111.8561453,33.42709485,NB ALMA SCHOOL RD & FS 7TH ST,Mesa,Active,33.4271,-111.856156
-111.8567931,33.40066267,NB ALMA SCHOOL RD & FS 8TH AV,Mesa,Active,33.400668,-111.856804
-111.8564862,33.40804392,NB ALMA SCHOOL RD & FS BROADWAY RD,Mesa,Active,33.408049,-111.856497
